State,District,PC Code,Biometrics verification of farmers,Procurement Center board/Banner,Drinking water facility,Toilet facility,Help Desk,Administrative building,Drainage,Quality Check Room,,Kutcha Floor,Kutcha Floor with Tarpaulin,Brick Flooring,Cement Floor,Not performed,Manual scale without Calibaration Certificate,Manual scale with Calibaration Certificate,Digital Weighing scale without calibration certificate,Digital Weighing scale with calibration certificate,Weighbridge,Not Available,Electricity Connection/Grid energy,Generator,Not available,MSP,Procurement Center operation days and timings,Quality specifications,Duties of Procurement Center officials,Contact details of the officials,Contact details for grievance redressal,List of token generated farmers
Odisha,SUNDARGARH,MY300111,1,0,1,1,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,SUNDARGARH,MY300207,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY300208,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY300907,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY300908,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY300909,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY300910,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY300911,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY301208,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,SUNDARGARH,MY301209,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,SUNDARGARH,MY301210,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,SUNDARGARH,MY301504,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,SUNDARGARH,MY301506,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,SUNDARGARH,MY301510,1,1,1,1,1,1,1,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY301609,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY301615,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY301719,1,1,1,1,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY302103,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,SUNDARGARH,MY302104,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,ANGUL,S1010101,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,ANGUL,S1010102,1,1,0,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
Odisha,ANGUL,S1010104,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010105,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,ANGUL,S1010106,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010107,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Odisha,ANGUL,S1010112,1,1,1,1,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,ANGUL,S1010113,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Odisha,ANGUL,S1010114,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010115,1,1,0,1,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,ANGUL,S1010202,1,1,0,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010203,1,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,ANGUL,S1010204,1,1,0,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010208,1,1,0,0,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010218,1,0,0,1,0,1,0,1,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,ANGUL,S1010301,1,1,0,0,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010302,1,1,1,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010303,1,1,1,1,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,ANGUL,S1010304,1,1,0,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010305,1,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,ANGUL,S1010307,1,1,0,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Odisha,ANGUL,S1010310,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Odisha,ANGUL,S1010311,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Odisha,ANGUL,S1010313,1,1,1,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Odisha,ANGUL,S1010410,1,0,0,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,ANGUL,S1010415,1,1,0,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010416,1,1,0,1,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010418,1,1,0,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Odisha,ANGUL,S1010419,1,0,0,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,ANGUL,S1010504,1,0,1,1,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
